Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
JAISAT-1,11:59:13,NNE,13°,12:02:21,E,77°
STARLINK-1877,11:59:26,SE,79°,12:03:41,NE,10°
STARLINK-3370,12:00:03,NNW,70°,12:03:52,NNE,10°
STARLINK-4007,12:00:52,NNW,78°,12:05:14,SE,10°
STARLINK-3919,12:02:08,NNW,72°,12:06:40,SE,10°
STARLINK-3368,12:03:58,NW,65°,12:07:55,NNE,10°
STARLINK-4771,12:04:34,S,60°,12:09:13,NE,10°
STARLINK-1812,12:04:48,SW,77°,12:09:16,NNE,10°
STARLINK-1293,12:04:57,NNW,19°,12:11:59,SE,10°
STARLINK-3386,12:05:20,NW,63°,12:09:20,NNE,10°
TITAN 4B R/B,12:05:54,NNW,16°,12:07:31,NNW,10°
STARLINK-3836,12:06:06,NW,65°,12:10:46,SSE,10°
STARLINK-3389,12:09:16,WNW,55°,12:13:22,NNE,10°
STARLINK-4760,12:09:50,SSW,57°,12:14:45,NE,10°
STARLINK-1890,12:10:05,WSW,64°,12:14:44,NNE,10°
STARLINK-1255,12:10:17,NW,18°,12:17:30,SSE,10°
STARLINK-3833,12:11:24,WNW,54°,12:16:13,SSE,10°
SL-14 R/B,12:13:21,N,18°,12:21:06,S,10°
STARLINK-3396,12:14:33,WNW,46°,12:18:48,NNE,10°
STARLINK-4756,12:15:07,SW,51°,12:20:14,NNE,10°
STARLINK-1884,12:15:23,W,52°,12:20:12,NNE,10°
STARLINK-3312,12:15:35,NNW,15°,12:23:03,SE,10°
STARLINK-1316,12:15:37,NW,16°,12:23:00,SSE,10°
STARLINK-1711,12:15:54,SSW,39°,12:21:29,NE,10°
STARLINK-3357,12:15:57,WNW,43°,12:20:14,NNE,10°
STARLINK-3938,12:16:43,WNW,45°,12:21:39,SSE,10°
SL-16 R/B,12:17:52,N,22°,12:27:02,SSE,10°
SEASAT 1,12:18:26,NNE,21°,12:26:31,SSW,11°
STARLINK-1257,12:19:35,NW,15°,12:27:03,SSE,10°
STARLINK-4649,12:20:27,SW,44°,12:25:44,NNE,10°
STARLINK-1871,12:20:41,W,43°,12:25:38,NNE,10°
STARLINK-2146,12:20:55,NW,14°,12:28:28,SSE,10°
STARLINK-4169,12:20:57,NW,14°,12:28:33,SSE,10°
STARLINK-1086,12:21:13,SSW,36°,12:27:02,NE,10°
ARIANE 5 R/B,12:21:51,NNW,20°,12:26:45,WSW,28°
STARLINK-4020,12:22:02,W,37°,12:27:05,SSE,10°
STARLINK-3209,12:22:22,NW,14°,12:29:59,SSE,10°
STARLINK-4759,12:25:44,WSW,36°,12:31:12,NNE,10°
STARLINK-1891,12:26:01,W,35°,12:31:04,NNE,10°
STARLINK-3501,12:26:16,SSW,27°,12:32:33,NE,10°
STARLINK-1256,12:26:21,NW,13°,12:33:55,SSE,10°
STARLINK-3193,12:26:22,NW,13°,12:34:03,SSE,10°
STARLINK-1642,12:26:31,SW,32°,12:32:31,NNE,10°
STARLINK-3844,12:27:21,W,31°,12:32:30,SSE,10°
STARLINK-2237,12:27:31,NNW,13°,12:35:20,SE,10°
STARLINK-3197,12:27:46,NW,13°,12:35:27,SSE,10°
STARLINK-2060,12:30:11,SW,32°,12:35:13,NE,10°
STARLINK-4764,12:31:04,WSW,31°,12:36:41,NNE,10°
STARLINK-3506,12:31:33,SW,24°,12:38:05,NE,10°
STARLINK-3204,12:31:46,NW,12°,12:39:29,SSE,10°
STARLINK-2254,12:31:52,SW,28°,12:38:03,NNE,10°
STARLINK-2252,12:32:55,NW,12°,12:40:50,SSE,10°
STARLINK-4757,12:36:21,WSW,26°,12:42:04,NNE,10°
STARLINK-5209,12:36:53,SW,22°,12:43:32,NNE,10°
STARLINK-1093,12:37:10,SW,24°,12:43:30,NNE,10°
STARLINK-3207,12:37:13,NW,11°,12:44:58,SSE,10°
STARLINK-2290,12:37:41,SSW,17°,12:44:56,NE,10°
PSLV R/B,12:37:49,NNE,15°,12:45:37,S,10°
STARLINK-3502,12:38:14,SW,21°,12:44:59,NNE,10°
STARLINK-2151,12:38:19,NW,11°,12:46:19,SSE,10°
STARLINK-4017,12:38:21,NW,11°,12:46:23,SE,10°
STARLINK-1074,12:41:07,WSW,22°,12:47:33,NNE,10°
STARLINK-3458,12:42:09,SW,19°,12:49:02,NNE,10°
STARLINK-1785,12:42:26,WSW,21°,12:48:56,NNE,10°
STARLINK-3203,12:42:36,NW,10°,12:50:21,SSE,10°
STARLINK-5018,12:42:38,SSW,13°,12:50:21,NE,10°
STARLINK-1878,12:42:57,SW,16°,12:50:25,NNE,10°
STARLINK-3512,12:43:30,SW,18°,12:50:27,NNE,10°
STARLINK-4028,12:43:40,NW,10°,12:51:52,SSE,10°
STARLINK-2757,12:43:41,NW,10°,12:51:46,SSE,10°
STARLINK-3456,12:47:28,SW,17°,12:54:28,NNE,10°
STARLINK-5002,12:47:57,SW,12°,12:55:53,NE,10°
STARLINK-1913,12:48:14,SW,14°,12:55:54,NNE,10°
STARLINK-3774,12:49:12,NW,10°,12:57:19,SSE,10°
STARLINK-5169,12:49:13,SSW,11°,12:57:21,NE,10°
STARLINK-2214,12:49:15,NW,10°,12:57:13,SSE,10°
STARLINK-1283,12:51:12,NW,16°,12:58:42,SSE,10°
STARLINK-5014,12:52:49,WSW,15°,12:59:55,NNE,10°
STARLINK-1634,12:53:44,SSW,15°,13:01:17,NE,10°
STARLINK-5025,12:53:52,SW,15°,13:01:24,NNE,10°
STARLINK-2249,12:54:10,WNW,15°,13:01:15,SSE,10°
STARLINK-1628,12:55:03,SSW,14°,13:02:40,NE,10°
STARLINK-3934,12:55:24,NW,14°,13:02:47,SSE,10°
STARLINK-2145,12:55:31,WNW,14°,13:02:38,SSE,10°
STARLINK-1307,12:56:32,NW,14°,13:04:11,SSE,10°
STARLINK-4074,12:56:46,NW,14°,13:04:10,SSE,10°
STARLINK-5004,12:59:10,SW,13°,13:06:51,NNE,10°
STARLINK-1869,12:59:16,SW,13°,13:06:50,NNE,10°
STARLINK-1593,13:00:23,SW,13°,13:08:16,NNE,10°
STARLINK-1681,13:00:29,NW,13°,13:08:14,SSE,10°
