Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
LANDSAT 7,19:19:58,SSE,11°,19:29:15,NNW,10°
STARLINK-1243,19:19:58,NW,27°,19:26:20,ESE,10°
STARLINK-1267,19:19:58,S,33°,19:25:13,ENE,10°
STARLINK-1683,19:19:58,SSW,18°,19:26:37,ENE,10°
STARLINK-1966,19:19:58,WNW,49°,19:25:09,SE,10°
STARLINK-2238,19:19:58,SSW,38°,19:25:28,ENE,10°
STARLINK-3190,19:19:58,SSW,52°,19:25:00,NE,10°
STARLINK-3913,19:19:58,NW,35°,19:25:35,ESE,10°
STARLINK-4032,19:19:58,S,45°,19:24:45,ENE,10°
STARLINK-3993,19:19:58,SSW,21°,19:26:31,ENE,10°
STARLINK-5453,19:19:58,NW,74°,19:24:26,SE,10°
STARLINK-6089,19:19:58,W,18°,19:26:09,SE,10°
STARLINK-6075,19:19:58,SSW,51°,19:23:39,SE,10°
STARLINK-2051,19:20:46,NW,20°,19:27:33,ESE,10°
STARLINK-6109,19:21:27,W,15°,19:28:01,SE,10°
STARLINK-3642,19:21:28,WNW,17°,19:28:37,SE,10°
STARLINK-4298,19:21:42,SW,16°,19:29:05,NE,10°
STARLINK-3871,19:22:27,NW,15°,19:29:57,SE,10°
STARLINK-3981,19:22:52,SW,14°,19:30:17,ENE,10°
STARLINK-1976,19:22:59,WNW,14°,19:30:34,SE,10°
STARLINK-2241,19:23:20,SW,14°,19:31:00,ENE,10°
STARLINK-3878,19:23:32,NW,13°,19:31:12,ESE,10°
STARLINK-1037,19:23:37,WSW,10°,19:29:01,NE,10°
CZ-4B R/B,19:23:42,SSE,21°,19:32:33,N,10°
STARLINK-6088,19:23:47,W,11°,19:30:53,SE,10°
STARLINK-4030,19:24:06,SSW,12°,19:31:27,ENE,10°
STARLINK-1272,19:24:32,SSW,12°,19:32:11,ENE,10°
STARLINK-1236,19:24:38,NW,18°,19:31:51,SE,10°
STARLINK-3236,19:25:18,SSW,11°,19:32:53,ENE,10°
CZ-2C R/B,19:25:52,SE,10°,19:32:10,N,10°
STARLINK-2062,19:26:02,NW,18°,19:33:03,ESE,10°
STARLINK-1034,19:26:19,SSW,10°,19:32:06,ENE,10°
STARLINK-6090,19:27:03,W,16°,19:33:20,SE,10°
STARLINK-3196,19:27:20,SW,17°,19:34:35,NE,10°
STARLINK-4029,19:27:41,SW,10°,19:35:49,ENE,10°
STARLINK-5472,19:28:13,WNW,17°,19:35:28,SE,10°
STARLINK-3208,19:28:44,SW,17°,19:36:01,NE,10°
STARLINK-2008,19:28:53,WNW,17°,19:36:03,SE,10°
STARLINK-3210,19:29:08,SSW,10°,19:36:59,ENE,10°
STARLINK-2242,19:29:13,SW,17°,19:36:32,NE,10°
RESURS O1,19:29:18,SSE,11°,19:37:56,NNW,10°
STARLINK-3875,19:29:29,NW,17°,19:36:40,ESE,10°
STARLINK-1207,19:29:39,SW,10°,19:37:46,ENE,10°
STARLINK-6102,19:29:49,W,15°,19:36:09,SE,10°
STARLINK-1269,19:30:05,NW,17°,19:37:22,SE,10°
STARLINK-4559,19:30:51,NW,17°,19:37:53,ESE,10°
STARLINK-1748,19:30:52,SW,15°,19:37:56,NE,10°
STARLINK-2437,19:31:13,SSW,10°,19:38:58,ENE,10°
STARLINK-2066,19:31:18,NW,17°,19:38:28,ESE,11°
STARLINK-5471,19:33:39,WNW,16°,19:40:51,SE,11°
STARLINK-4035,19:34:02,SW,16°,19:41:23,ENE,10°
STARLINK-2148,19:34:26,NW,13°,19:40:51,ESE,11°
STARLINK-2240,19:34:38,SW,16°,19:42:04,NE,10°
STARLINK-3902,19:34:50,NW,16°,19:41:56,SE,12°
STARLINK-3238,19:35:27,SSW,16°,19:42:33,ENE,10°
STARLINK-1200,19:35:27,NW,16°,19:42:39,SE,12°
STARLINK-1266,19:35:59,SW,16°,19:43:18,ENE,10°
STARLINK-4553,19:36:07,NW,15°,19:43:07,ESE,12°
STARLINK-3835,19:36:15,NW,15°,19:43:19,SE,12°
STARLINK-2016,19:36:42,NW,15°,19:43:48,ESE,12°
STARLINK-2467,19:37:28,SSW,16°,19:44:28,ENE,10°
STARLINK-1415,19:37:59,NW,15°,19:45:01,ESE,12°
STARLINK-5404,19:39:03,WNW,15°,19:46:07,SE,12°
STARLINK-4039,19:39:25,SW,15°,19:46:55,NE,10°
STARLINK-2220,19:40:03,SW,15°,19:47:36,NE,10°
STARLINK-3907,19:40:14,NW,15°,19:47:14,SE,13°
STARLINK-3225,19:40:45,SW,15°,19:48:06,ENE,10°
STARLINK-2567,19:40:50,WNW,15°,19:47:54,SE,13°
STARLINK-1284,19:41:20,SW,15°,19:48:52,ENE,10°
STARLINK-4551,19:41:28,NW,14°,19:48:25,ESE,14°
STARLINK-3855,19:41:39,NW,14°,19:48:37,SE,14°
STARLINK-2078,19:42:05,NW,15°,19:49:05,ESE,14°
STARLINK-4037,19:42:14,SSW,14°,19:49:14,ENE,10°
STARLINK-2480,19:42:43,SSW,14°,19:50:02,ENE,10°
STARLINK-4581,19:42:53,NW,14°,19:49:48,ESE,14°
STARLINK-5458,19:44:27,WNW,14°,19:51:25,SE,13°
STARLINK-4005,19:44:48,SW,14°,19:52:26,NE,10°
STARLINK-3068,19:45:09,NNW,15°,19:51:58,SE,14°
STARLINK-3860,19:45:40,NW,14°,19:52:34,SE,15°
STARLINK-3218,19:46:05,SW,14°,19:53:37,ENE,10°
STARLINK-1244,19:46:18,WNW,14°,19:53:16,SE,14°
STARLINK-4117,19:46:29,SW,14°,19:54:05,ENE,10°
STARLINK-1258,19:46:41,SW,14°,19:54:22,ENE,10°
STARLINK-4547,19:46:52,NW,14°,19:53:43,ESE,15°
STARLINK-2037,19:47:29,NW,14°,19:54:23,SE,15°
STARLINK-3148,19:47:29,SW,14°,19:55:05,ENE,10°
STARLINK-4044,19:47:30,SSW,13°,19:54:47,ENE,10°
STARLINK-2492,19:48:03,SSW,13°,19:55:34,ENE,10°
SL-16 R/B,19:48:36,SSE,10°,19:57:19,N,10°
STARLINK-3873,19:49:00,NW,20°,19:54:58,ESE,15°
STARLINK-2749,19:49:30,SSW,13°,19:56:43,ENE,10°
SL-8 R/B,19:49:58,SSW,19°,19:59:11,NNE,10°
STARLINK-4068,19:50:12,SW,13°,19:57:57,NE,10°
STARLINK-3083,19:50:40,NNW,14°,19:57:34,SE,15°
STARLINK-3048,19:51:08,NNW,14°,19:57:59,SE,16°
STARLINK-3143,19:51:27,SW,13°,19:59:10,ENE,10°
STARLINK-3863,19:51:40,WNW,18°,19:57:50,SE,16°
STARLINK-1292,19:52:05,SW,13°,19:59:54,NE,10°
STARLINK-2067,19:52:06,NW,18°,19:58:21,SE,17°
STARLINK-1138,19:52:28,WNW,19°,19:58:30,SE,15°
STARLINK-4070,19:52:50,SSW,12°,20:00:22,ENE,10°
STARLINK-4583,19:52:53,NW,17°,19:59:02,ESE,17°
STARLINK-2493,19:53:23,SW,13°,20:01:06,ENE,10°
STARLINK-1983,19:53:25,NW,18°,19:59:36,SE,17°
STARLINK-1714,19:53:26,SSW,12°,20:00:52,ENE,10°
STARLINK-3865,19:54:21,NW,19°,20:00:16,ESE,17°
STARLINK-3047,19:54:32,NNW,14°,20:01:26,SE,16°
STARLINK-2692,19:54:50,SSW,12°,20:02:18,ENE,10°
STARLINK-1417,19:54:51,NW,18°,20:00:55,ESE,17°
STARLINK-3903,19:55:46,NW,19°,20:01:39,ESE,17°
STARLINK-3244,19:56:50,SW,12°,20:04:41,NE,10°
STARLINK-3091,19:57:07,NNW,13°,20:04:00,SE,17°
STARLINK-3885,19:57:14,WNW,18°,20:03:08,SE,18°
STARLINK-1274,19:57:29,SW,12°,20:05:27,NE,10°
STARLINK-4042,19:58:09,SW,12°,20:05:54,ENE,10°
STARLINK-4550,19:58:20,NW,17°,20:04:18,SE,19°
COSMOS 2151,19:58:27,N,14°,20:05:44,SSE,14°
RESURS P1,19:58:38,SSE,16°,20:04:21,N,10°
STARLINK-2503,19:58:46,SW,12°,20:06:41,ENE,10°
STARLINK-2022,19:58:58,WNW,18°,20:04:55,SE,19°
STARLINK-3333,19:59:32,SSW,11°,20:07:02,ENE,10°
STARLINK-3904,19:59:46,NW,18°,20:05:34,ESE,19°
STARLINK-2439,20:00:06,SSW,11°,20:07:51,ENE,10°
STARLINK-1413,20:00:18,NW,18°,20:06:14,ESE,19°
STARLINK-1289,20:01:31,SW,12°,20:09:35,NE,10°
STARLINK-2082,20:01:43,NW,19°,20:07:28,ESE,19°
STARLINK-3239,20:02:12,SW,11°,20:10:12,NE,10°
STARLINK-3900,20:02:46,WNW,18°,20:08:25,SE,19°
STARLINK-1664,20:02:54,SW,11°,20:11:00,NE,10°
STARLINK-4081,20:03:29,SW,11°,20:11:25,ENE,10°
STARLINK-3226,20:03:37,SW,11°,20:11:39,NE,10°
STARLINK-4584,20:03:52,NW,17°,20:09:37,SE,21°
STARLINK-3116,20:03:54,NNW,18°,20:10:00,SSE,19°
STARLINK-2485,20:04:09,SW,11°,20:12:14,ENE,10°
SL-27 R/B,20:04:30,NNW,10°,20:10:49,S,10°
STARLINK-2033,20:04:38,WNW,18°,20:10:21,SE,20°
STARLINK-3323,20:04:49,SSW,10°,20:12:36,ENE,10°
STARLINK-3856,20:05:12,NW,17°,20:10:54,ESE,21°
STARLINK-1735,20:05:23,SSW,10°,20:13:25,ENE,10°
SL-14 R/B,20:05:36,SSW,13°,20:13:50,N,10°
STARLINK-2089,20:05:44,NW,17°,20:11:29,SE,22°
SL-3 R/B,20:06:55,S,12°,20:14:18,NNE,10°
STARLINK-2092,20:07:10,NW,18°,20:12:49,ESE,21°
STARLINK-4041,20:07:32,SW,10°,20:15:44,NE,10°
STARLINK-1401,20:08:17,NW,17°,20:13:53,SE,23°
STARLINK-3857,20:08:23,WNW,18°,20:13:46,SSE,21°
STARLINK-4004,20:08:50,SW,10°,20:17:00,ENE,10°
STARLINK-4576,20:09:20,WNW,17°,20:14:54,SE,23°
TERRA,20:09:20,E,14°,20:14:49,NNE,10°
STARLINK-2482,20:09:28,SW,10°,20:17:47,NE,10°
STARLINK-1414,20:09:54,NW,17°,20:15:31,SE,24°
STARLINK-3241,20:09:54,SW,17°,20:17:11,NE,10°
STARLINK-3109,20:09:58,NNW,18°,20:16:01,SSE,20°
STARLINK-2014,20:10:08,WNW,18°,20:15:38,SE,22°
STARLINK-3237,20:10:15,SSW,10°,20:18:10,ENE,10°
STARLINK-3892,20:10:34,NW,17°,20:16:07,ESE,24°
STARLINK-2463,20:10:50,SW,10°,20:18:59,ENE,10°
STARLINK-1422,20:11:15,NW,17°,20:16:52,SE,24°
METOP-A,20:11:45,SE,22°,20:17:30,N,10°
STARLINK-4514,20:11:59,NW,16°,20:17:33,ESE,22°
STARLINK-2088,20:12:29,NW,16°,20:18:07,ESE,24°
STARLINK-2462,20:13:19,SSW,16°,20:20:08,ENE,10°
STARLINK-4582,20:14:42,WNW,15°,20:20:14,SE,25°
RESURS-DK 1,20:14:58,N,15°,20:19:34,E,21°
STARLINK-4082,20:15:02,SW,15°,20:22:29,NE,10°
OKEAN-O,20:15:19,S,10°,20:23:51,NNW,10°
STARLINK-2040,20:15:24,WNW,15°,20:20:56,SSE,24°
STARLINK-2487,20:15:44,SW,15°,20:23:16,NE,10°
STARLINK-3918,20:15:52,NW,15°,20:21:28,SE,26°
STARLINK-3055,20:15:54,NNW,16°,20:22:02,SSE,21°
STARLINK-3242,20:16:24,SSW,15°,20:23:41,ENE,10°
STARLINK-3960,20:16:27,SW,15°,20:23:57,NE,10°
STARLINK-1436,20:16:31,WNW,15°,20:22:07,SE,27°
STARLINK-1755,20:17:01,SW,15°,20:24:31,ENE,10°
STARLINK-4516,20:17:07,NW,14°,20:22:44,ESE,25°
STARLINK-2076,20:17:42,NW,15°,20:23:22,ESE,27°
STARLINK-4055,20:17:52,SSW,14°,20:24:49,ENE,10°
STARLINK-2444,20:18:26,SSW,14°,20:25:43,ENE,10°
SPOT 5,20:18:55,SE,21°,20:26:47,N,10°
COSMOS 1862,20:18:57,N,14°,20:25:10,S,18°
STARLINK-1460,20:19:00,NW,14°,20:24:43,ESE,25°
METOP-B,20:19:30,SE,22°,20:28:15,N,10°
STARLINK-4577,20:20:01,WNW,14°,20:25:33,SSE,27°
STARLINK-4084,20:20:22,SW,14°,20:28:03,NE,10°
STARLINK-2488,20:21:03,SW,14°,20:28:50,NE,10°
STARLINK-3923,20:21:12,NW,13°,20:26:47,SE,29°
STARLINK-3240,20:21:38,SW,13°,20:29:14,ENE,10°
STARLINK-1399,20:21:54,WNW,13°,20:27:29,SE,29°
STARLINK-1687,20:22:17,SW,13°,20:30:02,ENE,10°
STARLINK-4303,20:22:21,NW,13°,20:28:01,ESE,28°
STARLINK-4116,20:22:59,SSW,12°,20:30:22,ENE,10°
STARLINK-2077,20:23:01,NW,13°,20:28:40,ESE,30°
STARLINK-2465,20:23:37,SSW,12°,20:31:14,ENE,10°
STARLINK-1410,20:25:13,NW,19°,20:30:07,ESE,28°
STARLINK-3976,20:25:39,SW,12°,20:33:34,NE,10°
STARLINK-4585,20:26:14,WNW,19°,20:30:50,SSE,29°
STARLINK-3338,20:26:53,SW,12°,20:34:45,ENE,10°
STARLINK-3887,20:27:14,NW,17°,20:32:05,SE,33°
STARLINK-4410,20:27:19,SE,29°,20:32:49,N,10°
STARLINK-1741,20:27:35,SW,12°,20:35:37,NE,10°
STARLINK-1393,20:28:07,WNW,18°,20:32:50,SSE,31°
STARLINK-4021,20:28:11,SSW,11°,20:35:56,ENE,10°
STARLINK-3251,20:28:14,SW,11°,20:36:13,ENE,10°
CZ-4C R/B,20:28:16,NNE,10°,20:31:12,E,37°
STARLINK-4474,20:28:31,NW,17°,20:33:22,ESE,32°
STARLINK-1708,20:28:47,SW,11°,20:36:45,ENE,10°
STARLINK-2097,20:29:10,NW,17°,20:34:02,SE,33°
STARLINK-3316,20:29:21,SSW,10°,20:36:41,ENE,10°
STARLINK-3899,20:29:33,NW,18°,20:34:18,E,28°
STARLINK-4395,20:30:00,SE,31°,20:35:30,N,10°
STARLINK-1308,20:30:13,SSW,10°,20:37:56,ENE,10°
STARLINK-1444,20:30:35,NW,18°,20:35:26,ESE,32°
STARLINK-4006,20:30:52,SW,10°,20:39:03,NE,10°
STARLINK-4565,20:31:43,WNW,19°,20:36:06,SSE,31°
STARLINK-3228,20:32:07,SW,10°,20:40:19,ENE,10°
STARLINK-4403,20:32:38,SE,32°,20:38:08,N,10°
STARLINK-3839,20:32:44,WNW,17°,20:37:23,SE,36°
STARLINK-1394,20:33:28,WNW,17°,20:38:04,SSE,33°
STARLINK-1749,20:33:43,SW,16°,20:41:08,NE,10°
STARLINK-4489,20:33:51,NW,16°,20:38:39,ESE,36°
STARLINK-4111,20:34:24,SSW,16°,20:41:30,ENE,10°
STARLINK-2050,20:34:28,NW,16°,20:39:17,SE,37°
STARLINK-1679,20:35:01,SW,16°,20:42:21,ENE,10°
STARLINK-3732,20:35:04,NW,15°,20:39:59,ESE,33°
STARLINK-4417,20:35:18,SE,34°,20:40:46,N,10°
STARLINK-1392,20:35:42,NW,15°,20:40:38,ESE,36°
STARLINK-1286,20:36:19,SSW,14°,20:43:29,ENE,10°
STARLINK-3896,20:36:24,NW,15°,20:41:22,ESE,34°
STARLINK-2729,20:37:32,SW,14°,20:45:14,NE,10°
STARLINK-3825,20:37:49,WNW,14°,20:42:40,SSE,38°
STARLINK-4385,20:37:57,SE,35°,20:43:25,N,10°
STARLINK-4299,20:38:09,SW,13°,20:45:51,NE,10°
STARLINK-2093,20:38:15,WNW,14°,20:43:11,SE,40°
STARLINK-4404,20:38:19,SE,36°,20:43:47,N,10°
H-2A R/B,20:38:26,ESE,35°,20:43:19,N,10°
STARLINK-1396,20:38:37,WNW,13°,20:43:29,SSE,35°
STARLINK-1733,20:38:51,SW,13°,20:46:39,NE,10°
STARLINK-3596,20:38:57,WSW,10°,20:42:21,NE,38°
STARLINK-4475,20:38:59,NW,13°,20:43:57,SE,41°
STARLINK-4087,20:39:23,SW,13°,20:47:02,ENE,10°
STARLINK-3249,20:39:29,SW,13°,20:47:16,NE,10°
STARLINK-2111,20:39:39,WNW,13°,20:44:39,SE,41°
STARLINK-1677,20:40:03,SW,13°,20:47:53,ENE,10°
STARLINK-4375,20:40:37,SE,37°,20:46:06,N,10°
STARLINK-4114,20:40:43,SW,12°,20:48:30,ENE,10°
STARLINK-3678,20:40:55,NW,18°,20:45:18,ESE,38°
STARLINK-4407,20:41:00,SE,37°,20:46:28,N,10°
STARLINK-1304,20:41:21,SSW,11°,20:49:06,ENE,10°
STARLINK-1452,20:41:31,NW,18°,20:45:57,ESE,41°
STARLINK-3890,20:42:18,NW,18°,20:46:41,ESE,39°
STARLINK-1609,20:42:53,NW,18°,20:47:16,E,36°
STARLINK-3252,20:43:12,SW,10°,20:51:21,NE,10°
UPPER FREE FLYER,20:43:15,SE,39°,20:48:32,N,10°
STARLINK-4369,20:43:19,SSE,39°,20:48:45,N,10°
STARLINK-1024,20:43:32,SW,10°,20:50:27,NE,10°
STARLINK-1746,20:43:53,WSW,10°,20:52:12,NE,10°
STARLINK-3842,20:43:58,WNW,18°,20:48:00,SSE,40°
COSMOS 2242,20:44:12,S,24°,20:51:12,N,10°
STARLINK-4093,20:44:27,SW,10°,20:52:35,ENE,10°
STARLINK-4486,20:44:58,NW,17°,20:49:14,SE,46°
STARLINK-3113,20:45:25,SW,16°,20:52:48,NE,10°
STARLINK-2094,20:45:40,WNW,17°,20:49:57,SSE,44°
STARLINK-4411,20:45:48,SSE,41°,20:51:12,N,10°
STARLINK-1680,20:45:59,SW,16°,20:53:25,ENE,10°
STARLINK-4382,20:45:59,SSE,40°,20:51:25,N,10°
STARLINK-3872,20:46:06,NW,16°,20:50:34,ESE,43°
STARLINK-1704,20:46:41,NW,15°,20:51:17,E,40°
STARLINK-1454,20:46:47,NW,15°,20:51:19,SE,47°
STARLINK-1280,20:47:12,SSW,14°,20:54:38,ENE,10°
STARLINK-2743,20:47:52,NW,14°,20:52:37,E,42°
STARLINK-1330,20:48:40,WNW,10°,20:52:57,S,52°
STARLINK-4351,20:48:41,SSE,42°,20:54:05,N,10°
STARLINK-3881,20:48:42,WNW,12°,20:53:16,S,41°
STARLINK-4095,20:48:59,SW,12°,20:56:53,NE,10°
STARLINK-4096,20:50:04,SW,11°,20:58:07,ENE,10°
STARLINK-3246,20:50:12,SW,11°,20:58:19,NE,10°
STARLINK-4118,20:50:34,WNW,17°,20:54:32,SSE,51°
STARLINK-1660,20:50:39,SW,10°,20:58:58,NE,10°
STARLINK-4391,20:51:17,SSE,42°,20:56:41,NNW,10°
STARLINK-2096,20:51:28,WNW,18°,20:55:17,S,46°
STARLINK-4368,20:51:40,SSE,43°,20:57:02,NNW,10°
STARLINK-3888,20:51:47,NW,17°,20:55:54,ESE,50°
STARLINK-1445,20:52:23,NW,16°,20:56:34,SE,53°
STARLINK-1278,20:52:45,SW,15°,21:00:10,ENE,10°
STARLINK-4511,20:52:52,NW,15°,20:57:14,E,42°
STARLINK-1528,20:53:21,NW,14°,20:57:53,ESE,48°
STARLINK-4372,20:53:57,S,43°,20:59:20,NNW,10°
STARLINK-3349,20:54:16,WSW,11°,21:02:22,NE,10°
STARLINK-4297,20:55:50,WNW,15°,20:59:52,SSE,54°
STARLINK-4088,20:56:10,SW,15°,21:03:39,NE,10°
STARLINK-2108,20:56:14,WNW,13°,21:00:31,S,46°
STARLINK-4370,20:56:39,S,43°,21:01:59,NNW,10°
STARLINK-3870,20:56:39,NW,12°,21:01:11,ESE,58°
STARLINK-1281,20:57:48,SW,12°,21:05:42,ENE,10°
STARLINK-2090,20:57:56,NW,18°,21:01:53,ESE,54°
STARLINK-1446,20:58:02,WNW,17°,21:01:55,SSE,57°
STARLINK-4503,20:58:31,NW,17°,21:02:31,E,49°
STARLINK-2035,20:58:47,NW,13°,21:03:13,ESE,56°
ARIANE 40 R/B,20:58:53,SE,40°,21:05:36,N,10°
STARLINK-4371,20:59:17,S,43°,21:04:35,NNW,10°
SL-24 R/B,20:59:52,SSW,27°,21:07:00,NE,10°
STARLINK-1335,21:00:46,NW,18°,21:04:37,E,46°
STARLINK-4054,21:01:16,SW,12°,21:09:11,NE,10°
STARLINK-4053,21:01:42,WNW,18°,21:05:08,S,54°
STARLINK-1705,21:01:44,SW,10°,21:10:03,NE,10°
STARLINK-4367,21:01:57,S,43°,21:07:12,NNW,10°
PLEIADES 1B,21:02:17,E,32°,21:07:23,N,10°
STARLINK-4366,21:02:19,S,43°,21:07:34,NNW,10°
SL-6 R/B(2),21:02:23,ESE,60°,21:06:12,NE,10°
STARLINK-3682,21:02:48,NW,17°,21:06:27,SE,65°
STARLINK-4563,21:02:49,WNW,15°,21:06:30,S,54°
STARLINK-1310,21:03:16,SW,12°,21:11:14,ENE,10°
STARLINK-1458,21:03:28,WNW,16°,21:07:11,S,60°
STARLINK-4485,21:04:10,NW,18°,21:07:52,E,57°
STARLINK-2018,21:04:52,NW,17°,21:08:35,ESE,65°
STARLINK-1340,21:06:14,NW,18°,21:09:55,E,53°
STARLINK-4505,21:06:53,WNW,15°,21:10:27,SSW,52°
STARLINK-1451,21:07:07,WNW,13°,21:11:09,S,60°
STARLINK-4098,21:07:08,SW,14°,21:14:41,NE,10°
STARLINK-3733,21:07:55,WNW,14°,21:11:47,SSE,70°
STARLINK-1456,21:08:20,WNW,12°,21:12:24,SSW,60°
STARLINK-1319,21:09:18,SW,15°,21:16:48,NE,10°
STARLINK-4488,21:09:21,NW,15°,21:13:07,E,67°
STARLINK-2010,21:09:55,NW,14°,21:13:51,SE,74°
STARLINK-3078,21:10:15,NNW,19°,21:13:28,E,55°
STARLINK-3726,21:10:50,NW,16°,21:14:31,ENE,51°
STARLINK-2750,21:11:20,NW,15°,21:15:13,E,62°
STARLINK-4040,21:12:18,WSW,12°,21:20:13,NE,10°
STARLINK-3909,21:12:23,WNW,12°,21:16:20,SSW,69°
EGYPTSAT-A,21:12:40,S,48°,21:18:25,NNW,10°
STARLINK-1277,21:13:09,SW,13°,21:20:56,NE,10°
STARLINK-1276,21:14:30,SW,13°,21:22:20,NE,10°
STARLINK-4123,21:14:32,NW,13°,21:18:25,ESE,79°
STARLINK-2020,21:14:43,WNW,17°,21:17:46,SW,56°
STARLINK-2058,21:15:10,NW,12°,21:19:10,S,77°
STARLINK-3729,21:15:46,WNW,18°,21:18:49,SSW,67°
