Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
STARLINK-1267,20:17:58,SSW,14°,20:25:15,ENE,10°
STARLINK-1966,20:17:58,WNW,17°,20:25:15,SE,10°
STARLINK-2238,20:17:58,SW,15°,20:25:30,ENE,10°
STARLINK-3190,20:17:58,SW,19°,20:25:00,NE,10°
STARLINK-3664,20:17:58,WNW,44°,20:23:13,SE,10°
STARLINK-4032,20:17:58,SSW,19°,20:24:47,ENE,10°
STARLINK-4278,20:17:58,SW,38°,20:23:35,NE,10°
STARLINK-5453,20:17:58,NW,24°,20:24:32,SE,10°
STARLINK-6075,20:17:58,W,22°,20:23:43,ESE,10°
STARLINK-3200,20:18:17,SSW,10°,20:25:54,ENE,10°
STARLINK-3913,20:18:45,NW,19°,20:25:41,ESE,10°
STARLINK-1243,20:19:07,NW,17°,20:26:24,ESE,10°
STARLINK-3993,20:19:29,SSW,17°,20:26:34,ENE,10°
STARLINK-6089,20:19:35,W,14°,20:26:15,SE,10°
STARLINK-1683,20:19:45,SSW,17°,20:26:40,ENE,10°
STARLINK-2051,20:20:18,NW,15°,20:27:40,ESE,10°
STARLINK-6109,20:21:06,W,12°,20:28:06,SE,10°
STARLINK-4298,20:21:26,SW,14°,20:29:07,NE,10°
STARLINK-3642,20:21:53,WNW,19°,20:28:42,SE,10°
STARLINK-3981,20:22:34,SW,12°,20:30:19,ENE,10°
STARLINK-3871,20:22:51,NW,17°,20:30:02,SE,10°
STARLINK-2241,20:23:03,SW,12°,20:31:01,ENE,10°
CZ-4B R/B,20:23:19,SSE,19°,20:32:29,N,10°
STARLINK-1976,20:23:32,WNW,18°,20:30:39,SE,10°
STARLINK-4030,20:23:46,SSW,10°,20:31:29,ENE,10°
STARLINK-3878,20:24:11,NW,18°,20:31:17,ESE,10°
STARLINK-1272,20:24:13,SSW,10°,20:32:13,ENE,10°
STARLINK-6088,20:24:38,W,16°,20:30:59,SE,10°
STARLINK-1236,20:24:41,NW,17°,20:31:57,SE,10°
STARLINK-3236,20:25:08,SSW,10°,20:32:57,ENE,10°
CZ-2C R/B,20:25:46,SE,10°,20:32:07,N,10°
STARLINK-2062,20:26:02,NW,18°,20:33:09,ESE,10°
STARLINK-1034,20:26:17,SSW,10°,20:32:09,ENE,10°
STARLINK-6090,20:27:00,W,15°,20:33:25,SE,10°
STARLINK-3196,20:27:19,SW,17°,20:34:36,NE,10°
SL-16 R/B,20:27:39,SE,10°,20:34:48,ENE,10°
STARLINK-5472,20:28:16,NW,16°,20:35:31,SE,10°
STARLINK-4029,20:28:38,SW,17°,20:35:51,ENE,10°
STARLINK-3208,20:28:43,SW,16°,20:36:02,NE,10°
STARLINK-2008,20:28:55,WNW,17°,20:36:08,SE,10°
RESURS O1,20:29:05,SSE,10°,20:37:51,NNW,10°
STARLINK-3210,20:29:08,SSW,10°,20:37:02,ENE,10°
STARLINK-2242,20:29:11,SW,16°,20:36:34,NE,10°
STARLINK-3875,20:29:31,NW,16°,20:36:38,ESE,11°
STARLINK-6102,20:29:47,W,15°,20:36:10,SE,11°
STARLINK-1269,20:30:08,NW,16°,20:37:21,SE,11°
STARLINK-1207,20:30:37,SW,17°,20:37:48,ENE,10°
STARLINK-1748,20:30:52,WSW,14°,20:37:57,NE,10°
STARLINK-4559,20:30:53,NW,16°,20:37:53,ESE,11°
STARLINK-2066,20:31:20,NW,16°,20:38:28,ESE,11°
STARLINK-2437,20:32:12,SSW,17°,20:38:59,ENE,10°
STARLINK-5471,20:33:42,WNW,15°,20:40:49,SE,11°
STARLINK-4035,20:34:00,SW,15°,20:41:24,NE,10°
STARLINK-2148,20:34:28,NW,13°,20:40:51,ESE,12°
STARLINK-2240,20:34:36,SW,16°,20:42:06,NE,10°
STARLINK-3902,20:34:53,NW,15°,20:41:57,SE,12°
STARLINK-3238,20:35:22,SSW,15°,20:42:34,ENE,10°
STARLINK-1200,20:35:30,NW,15°,20:42:38,SE,12°
STARLINK-1266,20:35:56,SW,15°,20:43:20,ENE,10°
STARLINK-4553,20:36:10,NW,15°,20:43:08,ESE,12°
STARLINK-3835,20:36:17,NW,15°,20:43:19,SE,13°
STARLINK-2016,20:36:45,NW,15°,20:43:49,ESE,13°
