Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
STARLINK-1737,00:13:11,SSW,15°,00:20:41,NE,10°
STARLINK-2047,00:13:11,NE,48°,00:17:23,SE,10°
STARLINK-3353,00:13:11,S,23°,00:19:25,NE,10°
STARLINK-3553,00:13:11,NNW,15°,00:20:40,SE,10°
STARLINK-4067,00:13:11,SSW,52°,00:18:15,NE,10°
STARLINK-5091,00:13:11,NW,14°,00:20:51,ESE,10°
STARLINK-5560,00:13:11,N,14°,00:20:47,SE,10°
STARLINK-1655,00:14:29,NW,17°,00:21:50,SE,10°
STARLINK-2021,00:15:37,NNW,15°,00:22:58,SE,10°
STARLINK-5379,00:16:30,NW,14°,00:24:14,ESE,10°
SL-8 R/B,00:17:00,SW,17°,00:25:35,NE,10°
STARLINK-3348,00:17:21,SSW,13°,00:24:59,NE,10°
STARLINK-5579,00:17:47,N,13°,00:25:34,SSE,10°
STARLINK-1712,00:18:14,SSW,12°,00:26:12,NE,10°
STARLINK-3562,00:19:00,NW,17°,00:26:11,SE,10°
STARLINK-1671,00:19:26,SSW,10°,00:27:21,NE,10°
STARLINK-1191,00:20:06,NW,18°,00:27:20,SSE,10°
STARLINK-4139,00:20:38,NNW,19°,00:27:16,SE,10°
STARLINK-2024,00:21:24,NNW,17°,00:28:35,SE,10°
STARLINK-4181,00:21:57,NNW,18°,00:28:38,SE,11°
STARLINK-5401,00:21:58,NW,18°,00:29:06,ESE,11°
COSMOS 2058,00:22:25,NNE,10°,00:30:16,SSE,10°
STARLINK-3355,00:22:26,SSW,10°,00:30:35,NE,10°
STARLINK-4045,00:23:58,SSW,10°,00:31:37,NE,10°
STARLINK-1740,00:24:21,SW,16°,00:31:44,NE,10°
STARLINK-5229,00:24:25,NW,16°,00:31:43,SE,10°
STARLINK-5398,00:25:10,NW,17°,00:32:16,SE,12°
STARLINK-4186,00:25:47,NNW,16°,00:32:33,SE,12°
STARLINK-1682,00:25:50,SSW,17°,00:32:56,NE,10°
STARLINK-3548,00:26:16,NW,16°,00:33:39,SE,10°
STARLINK-5617,00:26:34,NNW,17°,00:33:58,SSE,10°
COSMOS 1869,00:26:39,SSE,10°,00:33:41,NNE,10°
STARLINK-1971,00:26:41,NNW,16°,00:33:58,SE,11°
STARLINK-5573,00:28:00,NNW,17°,00:35:26,SSE,10°
STARLINK-1723,00:28:11,NNW,16°,00:34:37,ESE,14°
STARLINK-5402,00:28:26,NW,16°,00:35:28,SE,13°
STARLINK-3232,00:28:39,SSW,16°,00:36:04,NE,10°
STARLINK-3585,00:29:47,NW,15°,00:37:12,SSE,10°
PSLV R/B,00:30:09,NW,13°,00:36:28,ESE,15°
STARLINK-4038,00:30:12,SSW,15°,00:37:12,NE,10°
STARLINK-2448,00:31:06,SSW,15°,00:38:30,NE,10°
STARLINK-4192,00:31:08,NNW,15°,00:37:57,SE,14°
STARLINK-3560,00:31:12,NW,15°,00:38:36,SSE,10°
STARLINK-1991,00:32:05,NW,15°,00:39:18,SE,12°
STARLINK-5580,00:33:13,NNW,16°,00:40:47,SSE,10°
STARLINK-5397,00:33:17,NW,15°,00:40:14,SE,15°
STARLINK-1673,00:33:26,NNW,15°,00:39:56,SE,16°
STARLINK-3335,00:34:04,SW,15°,00:41:36,NE,10°
STARLINK-1709,00:35:04,SSW,15°,00:42:38,NE,10°
STARLINK-4280,00:35:26,SSW,14°,00:42:47,NE,10°
STARLINK-4214,00:36:25,NNW,14°,00:43:10,SE,15°
STARLINK-1694,00:36:27,SSW,14°,00:44:02,NE,10°
STARLINK-5359,00:36:32,NW,15°,00:43:25,SE,16°
STARLINK-2569,00:37:31,NW,14°,00:44:38,SSE,13°
STARLINK-3538,00:37:48,NNW,14°,00:43:51,ESE,18°
STARLINK-5413,00:37:51,NNW,14°,00:44:34,SE,16°
STARLINK-1295,00:37:54,SSW,14°,00:45:09,NE,10°
STARLINK-1656,00:38:42,NNW,14°,00:45:10,SE,18°
STARLINK-1721,00:39:23,NW,13°,00:46:06,SE,15°
STARLINK-4090,00:40:44,SSW,13°,00:48:19,NE,10°
STARLINK-5279,00:41:49,NW,13°,00:48:30,SE,17°
STARLINK-5294,00:41:50,NW,13°,00:48:33,SE,17°
STARLINK-2447,00:41:50,SW,14°,00:49:35,NE,10°
STARLINK-1287,00:41:50,SSW,13°,00:49:20,NE,10°
STARLINK-5396,00:42:08,NW,19°,00:48:16,SE,18°
STARLINK-3342,00:42:13,S,13°,00:49:23,ENE,10°
STARLINK-3647,00:43:05,NNW,13°,00:49:08,ESE,21°
STARLINK-2633,00:43:13,SSW,13°,00:50:46,NE,10°
STARLINK-1770,00:44:10,NNW,13°,00:50:36,SE,20°
STARLINK-5406,00:45:21,NW,19°,00:51:17,SE,20°
STARLINK-2436,00:45:50,SW,13°,00:53:41,NE,10°
STARLINK-4105,00:46:06,SSW,13°,00:53:53,NE,10°
CZ-4B R/B,00:47:08,SE,20°,00:52:23,NNE,10°
STARLINK-2421,00:47:12,SW,13°,00:55:05,NE,10°
STARLINK-3329,00:47:29,SSW,12°,00:54:59,NE,10°
STARLINK-4104,00:47:30,SSW,13°,00:55:19,NE,10°
STARLINK-5273,00:47:50,NW,18°,00:53:47,SSE,19°
STARLINK-3643,00:48:27,NNW,12°,00:54:27,SE,24°
STARLINK-1306,00:48:38,SSW,12°,00:56:26,NE,10°
STARLINK-5086,00:48:54,WNW,19°,00:54:39,SE,21°
STARLINK-1771,00:49:33,NW,12°,00:55:54,SE,23°
STARLINK-1938,00:50:46,NNW,11°,00:56:34,ESE,26°
